product_id,product_name,category,price,stock_quantity,description,keywords
PROD-001,QuantumCore Pro Laptop 15",Electronics,1299.99,15,"A high-performance laptop for professionals and creators.","laptop,computer,professional,15-inch,electronics,notebook,home office,wfh"
PROD-002,EchoSphere Smart Speaker,Electronics,49.99,120,"A voice-controlled smart speaker with crisp audio.","smart speaker,audio,voice assistant,electronics,smart home,alexa,google home"
PROD-003,SilentMark Noise-Cancelling Headphones,Electronics,249.50,45,"Immerse yourself in sound with industry-leading noise cancellation.","headphones,audio,noise cancelling,bluetooth,wireless,travel,gadget"
PROD-004,ChronoWatch Series 5,Electronics,399.00,60,"A sleek smartwatch with fitness tracking and notifications.","smartwatch,wearable,fitness,tracker,watch,electronics,gadget"
PROD-006,Portable Power Bank 20000mAh,Electronics,29.99,300,"Charge your devices on the go with this high-capacity power bank.","power bank,charger,portable,battery,phone accessories,travel,gadget"
PROD-007,Aura Gaming Headset,Electronics,99.99,70,"RGB backlit headset for an immersive gaming experience.","headphones,gaming,headset,rgb,pc,audio,wireless,esports"
PROD-011,Organic Arabica Coffee Beans (1kg),Groceries & Gourmet Food,22.50,200,"Whole bean dark roast coffee with rich, bold flavors.","coffee,beans,organic,arabica,whole bean,beverage,dark roast,groceries"
PROD-012,Single-Origin Ethiopian Coffee (1kg),Groceries & Gourmet Food,24.99,150,"Light roast whole bean coffee with bright, fruity notes.","coffee,beans,organic,ethiopian,whole bean,beverage,light roast,groceries"
PROD-013,Spicy Kimchi Ramen Noodles (5-pack),Groceries & Gourmet Food,8.99,150,"Instant ramen noodles with a fiery kimchi flavor kick.","ramen,noodles,spicy,korean,instant,snacks,kimchi,food"
PROD-014,Extra Virgin Olive Oil (500ml),Groceries & Gourmet Food,12.99,80,"Cold-pressed extra virgin olive oil for cooking and dressings.","olive oil,cooking,pantry,healthy,mediterranean,evoo,groceries"
PROD-015,Gourmet Dark Chocolate Bar (72% Cacao),Groceries & Gourmet Food,4.50,400,"A rich and intense dark chocolate bar for connoisseurs.","chocolate,dark chocolate,gourmet,snack,dessert,cacao,organic"
PROD-020,Organic Wildflower Honey (250g),Groceries & Gourmet Food,11.50,130,"Raw and unfiltered honey from wildflower blossoms.","honey,organic,raw,sweetener,pantry,groceries,snack"
PROD-021,Modernist Ceramic Vase,Home & Kitchen,34.99,55,"A minimalist ceramic vase to complement any home decor.","vase,decor,home,ceramic,modern,living room,gift"
PROD-023,Stainless Steel Chef's Knife (8-inch),Home & Kitchen,45.00,110,"A professional-grade chef's knife for all your kitchen needs.","knife,kitchen,cooking,chef,cutlery,stainless steel"
PROD-026,AeroPress Coffee Maker,Home & Kitchen,32.00,180,"A revolutionary coffee press for a rich, smooth cup of coffee.","coffee maker,aeropress,kitchen,brew,gadget,coffee"
PROD-027,Eco-Friendly Bamboo Cutting Board,Home & Kitchen,19.99,200,"A durable and sustainable cutting board made from bamboo.","cutting board,bamboo,kitchen,eco-friendly,sustainable,cooking"
PROD-028,Smart LED Light Bulb (RGB),Home & Kitchen,14.99,300,"Change the color and brightness of your lights with your phone.","smart bulb,led,rgb,smart home,lighting,wifi,electronics"
PROD-030,All-Purpose Natural Cleaner,Home & Kitchen,9.99,160,"An eco-friendly cleaner for all surfaces.","cleaner,natural,eco-friendly,cleaning supplies,kitchen,sustainable"
PROD-031,Hydrating Hyaluronic Acid Serum,Beauty & Personal Care,25.00,120,"A powerful serum for deep hydration and plumping the skin.","serum,skincare,hyaluronic acid,hydrating,beauty,cosmetic,face"
